NOM_COM_RBD,distrito
COLINA,8
LAMPA,8
PUDAHUEL,8
QUILICURA,8
TILTIL,8
CERRILLOS,8
ESTACIÓN CENTRAL,8
MAIPÚ,8
CONCHALÍ,9
HUECHURABA,9
RENCA,9
CERRO NAVIA,9
LO PRADO,9
QUINTA NORMAL,9
INDEPENDENCIA,9
RECOLETA,9
ÑUÑOA,10
PROVIDENCIA,10
SANTIAGO,10
MACUL,10
SAN JOAQUÍN,10
LA GRANJA,10
LAS CONDES,11
VITACURA,11
LO BARNECHEA,11
LA REINA,11
PEÑALOLÉN,11
LA FLORIDA,12
LA PINTANA,12
PIRQUE,12
PUENTE ALTO,12
EL BOSQUE,13
La CISTERNA,13
SAN RAMÓN,13
LO ESPEJO,13
PEDRO AGUIRRE CERDA,13
SAN MIGUEL,13
BUIN,14
CALERA DE TANGO,14
PAINE,14
SAN BERNARDO,14
ALHUÉ,14
CURACAVÍ,14
EL MONTE,14
ISLA DE MAIPO,14
MELIPILLA,14
PADRE HURTADO,14
PEÑAFLOR,14
SAN PEDRO,14
TALAGANTE,14
